"id","inv","desc","status","created_at","updated_at"
"4845","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","29/10/2025 06:00:25","29/10/2025 06:00:25"
"4846","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 06:01:25","29/10/2025 06:01:25"
"4847","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","29/10/2025 06:30:24","29/10/2025 06:30:24"
"4849","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 06:30:49","29/10/2025 06:30:49"
"4850","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 07:00:07","29/10/2025 07:00:07"
"4851","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","29/10/2025 07:30:32","29/10/2025 07:30:32"
"4852","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","29/10/2025 08:00:28","29/10/2025 08:00:28"
"4853","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","29/10/2025 08:30:40","29/10/2025 08:30:40"
"4854","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","29/10/2025 09:00:40","29/10/2025 09:00:40"
"4855","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","29/10/2025 09:30:24","29/10/2025 09:30:24"
"4856","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","29/10/2025 10:00:11","29/10/2025 10:00:11"
"4871","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","29/10/2025 10:30:32","29/10/2025 10:30:32"
"4872","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","29/10/2025 11:00:21","29/10/2025 11:00:21"
"4873","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","29/10/2025 11:30:10","29/10/2025 11:30:10"
"4874","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","29/10/2025 12:00:09","29/10/2025 12:00:09"
"4875","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 12:30:13","29/10/2025 12:30:13"
"4876","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 13:00:14","29/10/2025 13:00:14"
"4877","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","29/10/2025 13:31:08","29/10/2025 13:31:08"
"4878","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 14:01:21","29/10/2025 14:01:21"
"4879","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 14:01:21","29/10/2025 14:01:21"
"4881","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 14:32:25","29/10/2025 14:32:25"
"4882","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 15:01:22","29/10/2025 15:01:22"
"4883","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","29/10/2025 15:31:08","29/10/2025 15:31:08"
"4884","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","29/10/2025 16:00:34","29/10/2025 16:00:34"
"4886","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","29/10/2025 16:33:26","29/10/2025 16:33:26"
"4887","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","29/10/2025 17:00:06","29/10/2025 17:00:06"
"4888","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","29/10/2025 17:30:06","29/10/2025 17:30:06"
"4889","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","29/10/2025 18:00:06","29/10/2025 18:00:06"
