"id","inv","desc","status","created_at","updated_at"
"1057","BGD1.INV.24.662050","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1058","BGD1.INV.24.662051","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1059","BGD1.INV.24.662052","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1060","BGD1.INV.24.662053","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1061","BGD1.INV.24.662062","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1062","BGD1.INV.24.662071","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1063","BGD1.INV.24.662072","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1064","BGD1.INV.24.662073","Tidak ada data customer","2","9/9/2025 10:30:04","9/9/2025 10:30:04"
"1065","BGD1.INV.24.662080","Tidak ada data customer","2","9/9/2025 10:30:05","9/9/2025 10:30:05"
"1066","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","9/9/2025 10:30:28","9/9/2025 10:30:28"
"1067","BGD1.INV.21.999999","Tidak ada invoice weighing detailnya","3","9/9/2025 11:00:06","9/9/2025 11:00:06"
"1068","BGD1.INV.24.645501","Tidak ada invoice weighing detailnya","3","9/9/2025 11:30:08","9/9/2025 11:30:08"
"1069","BGD1.INV.25.742968","Tidak ada invoice weighing detailnya","3","9/9/2025 12:00:07","9/9/2025 12:00:07"
"1070","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","9/9/2025 12:30:09","9/9/2025 12:30:09"
"1071","BGD1.INV.24.657281","Tidak ada invoice weighing detailnya","3","9/9/2025 13:00:10","9/9/2025 13:00:10"
"1072","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","9/9/2025 13:30:44","9/9/2025 13:30:44"
"1073","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","9/9/2025 14:01:18","9/9/2025 14:01:18"
"1074","BGD1.INV.24.638364","Tidak ada invoice weighing detailnya","3","9/9/2025 14:01:19","9/9/2025 14:01:19"
"1075","BGD1.INV.25.735260","Tidak ada invoice weighing detailnya","3","9/9/2025 14:30:22","9/9/2025 14:30:22"
"1076","BGD1.INV.24.662033","Tidak ada data customer","2","9/9/2025 14:32:14","9/9/2025 14:32:14"
"1077","BGD1.INV.24.662036","Tidak ada data customer","2","9/9/2025 15:01:20","9/9/2025 15:01:20"
"1078","BGD1.INV.24.662047","Tidak ada data customer","2","9/9/2025 15:31:05","9/9/2025 15:31:05"
"1079","BGD1.INV.24.662048","Tidak ada data customer","2","9/9/2025 16:00:33","9/9/2025 16:00:33"
"1080","BGD1.INV.24.662049","Tidak ada data customer","2","10/9/2025 00:03:02","10/9/2025 00:03:02"
"1081","BGD1.INV.25.729054","Tidak ada invoice weighing detailnya","3","10/9/2025 00:30:17","10/9/2025 00:30:17"
"1082","BGD1.INV.24.662050","Tidak ada data customer","2","10/9/2025 00:30:51","10/9/2025 00:30:51"
"1083","BGD1.INV.24.662051","Tidak ada data customer","2","10/9/2025 01:00:34","10/9/2025 01:00:34"
"1084","BGD1.INV.24.662052","Tidak ada data customer","2","10/9/2025 01:30:14","10/9/2025 01:30:14"
"1085","BGD1.INV.24.662033","Tidak ada data customer","2","10/9/2025 02:00:28","10/9/2025 02:00:28"
"1086","BGD1.INV.24.662036","Tidak ada data customer","2","10/9/2025 02:30:25","10/9/2025 02:30:25"
"1087","BGD1.INV.24.657281","Tidak ada invoice weighing detailnya","3","10/9/2025 03:00:06","10/9/2025 03:00:06"
"1088","BGD1.INV.24.662047","Tidak ada data customer","2","10/9/2025 03:00:31","10/9/2025 03:00:31"
"1089","BGD1.INV.24.662048","Tidak ada data customer","2","10/9/2025 03:30:46","10/9/2025 03:30:46"
"1090","BGD1.INV.24.662049","Tidak ada data customer","2","10/9/2025 04:00:24","10/9/2025 04:00:24"
"1091","BGD1.INV.21.999999","Tidak ada invoice weighing detailnya","3","10/9/2025 04:30:33","10/9/2025 04:30:33"
"1092","BGD1.INV.24.645501","Tidak ada invoice weighing detailnya","3","10/9/2025 04:30:33","10/9/2025 04:30:33"
"1093","BGD1.INV.24.662050","Tidak ada data customer","2","10/9/2025 04:34:23","10/9/2025 04:34:23"
"1094","BGD1.INV.24.662051","Tidak ada data customer","2","10/9/2025 05:02:12","10/9/2025 05:02:12"
"1095","BGD1.INV.24.662052","Tidak ada data customer","2","10/9/2025 05:30:11","10/9/2025 05:30:11"
"1096","BGD1.INV.24.662053","Tidak ada data customer","2","10/9/2025 06:00:14","10/9/2025 06:00:14"
"1097","BGD1.INV.24.638364","Tidak ada invoice weighing detailnya","3","10/9/2025 06:30:21","10/9/2025 06:30:21"
"1098","BGD1.INV.24.662062","Tidak ada data customer","2","10/9/2025 06:30:21","10/9/2025 06:30:21"
"1099","BGD1.INV.24.662071","Tidak ada data customer","2","10/9/2025 07:00:04","10/9/2025 07:00:04"
"1100","BGD1.INV.24.662072","Tidak ada data customer","2","10/9/2025 07:30:18","10/9/2025 07:30:18"
"1101","BGD1.INV.24.662073","Tidak ada data customer","2","10/9/2025 08:00:08","10/9/2025 08:00:08"
"1102","BGD1.INV.24.662080","Tidak ada data customer","2","10/9/2025 08:30:22","10/9/2025 08:30:22"
"1103","BGD1.INV.24.662053","Tidak ada data customer","2","10/9/2025 09:00:39","10/9/2025 09:00:39"
"1104","BGD1.INV.24.662062","Tidak ada data customer","2","10/9/2025 09:30:21","10/9/2025 09:30:21"
"1105","BGD1.INV.24.662071","Tidak ada data customer","2","10/9/2025 10:00:09","10/9/2025 10:00:09"
"1106","BGD1.INV.24.662033","Tidak ada data customer","2","10/9/2025 10:30:03","10/9/2025 10:30:03"
